pl_name,pl_bmasse,pl_rade,pl_dens,pl_radeerr1,pl_radeerr2,pl_bmasseerr1,pl_bmasseerr2,discoverymethod,disc_facility,pl_controv_flag,sy_dist
"WD 0806-661 b",2383.60000,12.600,6.550000,,,476.70000,-476.70000,"Imaging","Spitzer Space Telescope",0,19.2444000
"RR Cae b",1334.88600,13.000,3.340000,,,127.13200,-127.13200,"Eclipse Timing Variations","Leoncito Astronomical Complex",0,21.1916000
"HATS-28 b",213.58176,13.384,0.480000,0.785,-0.785,27.65121,-27.65121,"Transit","HATSouth",0,535.3830000
"2MASS J19383260+4603591 b",603.87700,13.400,1.380000,,,31.78300,-31.78300,"Eclipse Timing Variations","Kepler",0,396.3320000
"HATS-27 b",168.44990,16.814,0.180000,2.242,-1.233,41.31790,-41.31790,"Transit","HATSouth",0,816.9880000
"HATS-15 b",689.69110,12.386,1.970000,0.448,-0.448,47.67450,-47.67450,"Transit","HATSouth",0,1139.5500000
"GJ 3341 b",6.60000,2.460,2.440000,,,0.10000,-0.10000,"Radial Velocity","La Silla Observatory",0,23.6190000
"GJ 3512 b",147.15529,14.300,0.277000,,,6.99226,-7.31009,"Radial Velocity","Calar Alto Observatory",0,9.4863700
"GJ 581 b",15.80000,4.110,1.250000,,,0.30000,-0.30000,"Radial Velocity","La Silla Observatory",0,6.2981000
"55 Cnc f",44.81200,7.590,0.563000,,,3.81400,-3.81400,"Radial Velocity","Multiple Observatories",0,12.5855000
"G 264-012 b",2.50000,1.390,5.120000,,,0.29000,-0.30000,"Radial Velocity","Calar Alto Observatory",0,16.0090000
"EPIC 201833600 c",0.97200,1.000,5.340000,0.120,-0.110,,,"Transit","K2",0,257.4430000
"EPIC 205950854 c",2.27000,1.310,5.550000,0.144,-0.063,,,"Transit","K2",0,243.9350000
"EPIC 249893012 b",8.75000,1.950,6.390000,0.090,-0.080,1.09000,-1.08000,"Transit","K2",0,321.2960000
"EPIC 249893012 c",14.67000,3.670,1.620000,0.170,-0.140,1.84000,-1.89000,"Transit","K2",0,321.2960000
