pl_name,pl_bmasse,pl_rade,pl_dens,pl_radeerr1,pl_radeerr2,pl_bmasseerr1,pl_bmasseerr2,discoverymethod,disc_facility,pl_controv_flag,sy_dist
"Kepler-55 b",473.55000,2.430,,,,,,"Transit","Kepler",0,578.7960000
"HD 185269 b",321.00830,13.800,0.671000,,,4.44962,-4.44962,"Radial Velocity","Lick Observatory",0,51.9917000
"Kepler-33 f",9.60000,4.460,0.900000,0.410,-0.410,1.70000,-1.80000,"Transit","Kepler",0,1209.1600000
"GJ 486 b",2.82000,1.305,7.000000,0.063,-0.067,0.11000,-0.12000,"Radial Velocity","Calar Alto Observatory",0,8.0742600
"HATS-44 b",177.98480,11.960,0.560000,1.401,-0.796,34.96130,-34.96130,"Transit","HATSouth",0,446.0350000
"HD 190984 b",985.20000,13.100,2.410000,,,,,"Radial Velocity","La Silla Observatory",0,148.1870000
"HD 10180 c",13.10000,3.680,1.440000,,,0.54000,-0.54000,"Radial Velocity","La Silla Observatory",0,38.9607000
"HD 108236 d",6.98000,2.539,2.340000,0.062,-0.065,,,"Transit","Transiting Exoplanet Survey Satellite (TESS)",0,64.5978000
"HD 204313 b",1099.69180,13.100,2.690000,,,66.74430,-66.74430,"Radial Velocity","La Silla Observatory",0,47.7945000
"HD 206255 b",34.20000,6.470,0.694000,,,7.10000,-7.10000,"Radial Velocity","Las Campanas Observatory",0,75.2363000
"HD 113538 b",114.41000,13.200,0.273000,,,12.71000,-12.71000,"Radial Velocity","La Silla Observatory",0,16.2817000
"HD 11964 b",198.00000,14.100,0.388000,,,18.00000,-18.00000,"Radial Velocity","W. M. Keck Observatory",0,33.5369000
"HD 20781 c",5.33000,2.170,2.870000,,,0.70000,-0.67000,"Radial Velocity","La Silla Observatory",0,35.9715000
"K2-100 b",21.80000,3.880,2.040000,0.160,-0.160,6.20000,-6.20000,"Transit","K2",0,188.9590000
"Kepler-672 b",6.80000,2.500,2.390000,0.320,-0.180,,,"Transit","Kepler",0,1033.9300000
"HD 125595 b",6.35660,2.400,2.530000,,,3.17830,-3.17830,"Radial Velocity","La Silla Observatory",0,28.1989000
"HD 209458 b",232.01590,15.581,0.362000,0.224,-0.224,12.71320,-12.71320,"Radial Velocity","W. M. Keck Observatory",0,48.3016000
"HD 133131 A b",451.31860,13.600,0.986000,,,12.71320,-12.71320,"Radial Velocity","Las Campanas Observatory",0,51.4736000
"HD 212771 b",759.61370,13.300,1.770000,,,85.81410,-85.81410,"Radial Velocity","W. M. Keck Observatory",0,111.1550000
"K2-279 b",1.92000,1.210,5.960000,0.140,-0.140,,,"Transit","K2",0,182.9830000
"HD 141399 e",209.76780,14.100,0.411000,,,31.78300,-31.78300,"Radial Velocity","Multiple Observatories",0,37.0169000
"HD 147018 b",674.00000,13.400,1.540000,,,20.00000,-20.00000,"Radial Velocity","La Silla Observatory",0,40.4256000
"HD 1502 b",874.03250,13.200,2.090000,,,50.85280,-50.85280,"Radial Velocity","W. M. Keck Observatory",0,190.9530000
"HD 99492 b",22.24810,5.020,0.966000,,,15.89150,-15.89150,"Radial Velocity","W. M. Keck Observatory",0,18.2038000
"Kepler-1649 c",1.20000,1.060,5.540000,0.150,-0.100,,,"Transit","Kepler",0,92.1913000
"HD 155358 b",314.65170,13.800,0.658000,,,25.42640,-25.42640,"Radial Velocity","McDonald Observatory",0,43.6197000
"HD 74156 b",572.07000,13.400,1.310000,,,19.07000,-19.07000,"Radial Velocity","Haute-Provence Observatory",0,57.6030000
"K2-238 b",273.33380,14.572,0.560000,1.681,-1.569,41.31790,-38.13960,"Transit","K2",0,537.9630000
"K2-204 b",9.51000,3.046,1.850000,0.433,-0.373,,,"Transit","K2",0,577.2350000
"K2-215 b",5.16000,2.124,2.960000,0.259,-0.158,,,"Transit","K2",0,403.9640000
"HR 858 b",5.00000,2.085,3.030000,0.068,-0.064,,,"Transit","Transiting Exoplanet Survey Satellite (TESS)",0,31.9640000
"K2-18 b",8.92000,2.370,4.110000,0.220,-0.220,1.70000,-1.60000,"Transit","K2",0,38.0266000
"K2-24 b",19.00000,5.400,0.640000,0.200,-0.200,2.20000,-2.10000,"Transit","K2",0,170.5620000
"K2-240 c",3.89000,1.800,3.670000,0.300,-0.100,,,"Transit","K2",0,72.9105000
"K2-240 b",4.66000,2.000,3.200000,0.200,-0.100,,,"Transit","K2",0,72.9105000
"K2-217 b",12.50000,3.579,1.500000,0.698,-0.485,,,"Transit","K2",0,381.8780000
"K2-219 d",7.16000,2.576,2.300000,0.357,-0.323,,,"Transit","K2",0,325.4000000
"K2-224 b",3.05000,1.560,4.410000,0.160,-0.140,,,"Transit","K2",0,275.2550000
"K2-231 b",6.80000,2.500,2.390000,0.200,-0.200,,,"Transit","K2",0,321.2150000
"HIP 79431 b",667.41500,13.400,1.520000,,,,,"Radial Velocity","W. M. Keck Observatory",0,14.5324000
"HIP 105854 b",2606.10000,12.600,7.160000,,,63.60000,-63.60000,"Radial Velocity","Multiple Observatories",0,78.6381000
"K2-186 b",10.20000,3.172,1.760000,0.264,-0.163,,,"Transit","K2",0,330.7390000
"HD 7924 d",6.44000,2.420,2.500000,,,0.79000,-0.78000,"Radial Velocity","W. M. Keck Observatory",0,16.9922000
"HIP 109384 b",495.81480,13.500,1.110000,,,25.42640,-25.42640,"Radial Velocity","Haute-Provence Observatory",0,58.9582000
"HIP 116454 b",12.71320,2.466,4.170000,0.112,-0.112,3.17830,-3.17830,"Transit","K2",0,62.4491000
"HIP 5158 b",451.00000,13.600,0.985000,,,,,"Radial Velocity","La Silla Observatory",0,51.6026000
"HD 8574 b",645.19490,13.400,1.470000,,,44.49620,-44.49620,"Radial Velocity","Haute-Provence Observatory",0,44.8264000
"HD 86950 b",1144.18800,13.000,2.860000,,,222.48100,-222.48100,"Radial Velocity","Multiple Observatories",0,209.8390000
"HD 89307 b",670.62130,13.400,1.530000,,,66.74430,-66.74430,"Radial Velocity","Lick Observatory",0,32.0104000
"HD 90156 b",17.98000,4.430,1.140000,,,1.46000,-1.46000,"Radial Velocity","La Silla Observatory",0,21.9496000
"HD 95089 b",400.46580,13.700,0.856000,,,27.01555,-27.01555,"Radial Velocity","W. M. Keck Observatory",0,136.9570000
"K2-105 b",30.00000,3.370,4.310000,0.120,-0.120,19.00000,-19.00000,"Transit","K2",0,197.9890000
"K2-199 c",8.15000,2.780,2.080000,0.140,-0.140,,,"Transit","K2",0,107.5180000
"K2-108 b",59.40000,5.330,2.220000,0.210,-0.210,4.40000,-4.40000,"Transit","K2",0,477.2950000
"HD 99109 b",139.84520,14.300,0.263000,,,25.42640,-25.42640,"Radial Velocity","W. M. Keck Observatory",0,54.7901000
"HIP 41378 b",8.75000,2.900,1.970000,0.440,-0.440,,,"Transit","K2",0,106.2890000
"HD 85512 b",3.60000,1.720,3.890000,,,0.50000,-0.50000,"Radial Velocity","La Silla Observatory",0,11.2810000
"HD 96992 b",362.32620,13.700,0.774000,,,98.52730,-98.52730,"Radial Velocity","Multiple Observatories",0,396.0820000
"HD 96063 b",403.64410,13.700,0.863000,,,85.81410,-85.81410,"Radial Velocity","W. M. Keck Observatory",0,140.0650000
"HD 98219 b",624.21812,13.400,1.430000,,,31.46517,-31.46517,"Radial Velocity","W. M. Keck Observatory",0,113.7040000
"HIP 65407 b",136.03124,14.300,0.256000,,,10.17056,-10.17056,"Radial Velocity","Haute-Provence Observatory",0,61.7804000
"HIP 48714 b",22.90000,5.110,0.943000,,,2.80000,-2.80000,"Radial Velocity","Multiple Observatories",0,10.5298000
"HIP 54373 b",8.62000,2.870,2.000000,,,1.84000,-1.84000,"Radial Velocity","Las Campanas Observatory",0,18.7168000
"HD 109246 b",273.33380,13.900,0.559000,,,79.45750,-79.45750,"Radial Velocity","Haute-Provence Observatory",0,67.8349000
"HIP 5158 c",4780.16320,12.200,14.500000,,,3353.10650,-3353.10650,"Radial Velocity","La Silla Observatory",0,51.6026000
"HIP 57274 c",130.00000,14.200,0.249000,,,3.00000,-3.00000,"Radial Velocity","W. M. Keck Observatory",0,25.8618000
"HIP 71135 b",18.80000,4.550,1.100000,,,4.10000,-4.10000,"Radial Velocity","Las Campanas Observatory",0,32.3311000
"HIP 65426 b",2860.47000,16.814,3.310000,1.121,-1.121,953.49000,-953.49000,"Imaging","Paranal Observatory",0,108.8750000
"HR 810 b",721.47410,13.300,1.690000,,,79.45750,-79.45750,"Radial Velocity","La Silla Observatory",0,17.3181000
"HR 8799 c",3000.00000,13.000,7.500000,1.000,0.000,1000.00000,-1000.00000,"Imaging","Gemini Observatory",0,41.2441000
"K2-114 b",587.98550,10.670,2.990000,0.360,-0.360,73.10090,-69.92260,"Transit","K2",0,475.7580000
"K2-119 b",6.94000,2.530,2.350000,0.200,-0.200,,,"Transit","K2",0,365.5810000
"K2-121 b",43.90000,7.500,0.572000,0.140,-0.140,,,"Transit","K2",0,169.3980000
"K2-122 b",1.92000,1.210,5.960000,0.080,-0.080,,,"Transit","K2",0,72.0444000
"K2-118 b",6.99000,2.540,2.340000,0.230,-0.200,,,"Transit","K2",0,321.7220000
"K2-124 b",8.75000,2.900,1.970000,0.100,-0.100,,,"Transit","K2",0,140.3850000
"K2-137 b",158.91500,0.890,,0.090,-0.090,,,"Transit","K2",0,98.8765000
"HIP 107772 b",12.90000,3.640,1.470000,,,3.00000,-3.00000,"Radial Velocity","Multiple Observatories",0,23.6434000
"HIP 65407 c",249.17872,13.900,0.510000,,,17.16282,-17.16282,"Radial Velocity","Haute-Provence Observatory",0,61.7804000
"HIP 67522 b",72.40000,10.070,0.390000,0.470,-0.470,,,"Transit","Transiting Exoplanet Survey Satellite (TESS)",0,127.2800000
"K2-146 b",5.77000,2.050,3.690000,0.060,-0.060,0.18000,-0.18000,"Transit","K2",0,79.3002000
"K2-149 b",3.33000,1.640,4.150000,0.200,-0.180,,,"Transit","K2",0,123.6760000
"K2-111 b",5.29000,1.820,4.800000,0.110,-0.090,0.76000,-0.77000,"Transit","K2",0,200.3940000
"K2-133 d",4.67000,2.003,3.190000,0.107,-0.107,,,"Transit","K2",0,75.1703000
"K2-117 b",4.78000,2.030,3.140000,0.100,-0.100,,,"Transit","K2",0,101.6320000
"HD 108341 b",1112.40000,13.100,2.720000,,,1080.60000,-381.40000,"Radial Velocity","La Silla Observatory",0,48.9102000
"K2-138 c",6.31000,2.299,2.800000,0.120,-0.087,1.13000,-1.23000,"Transit","K2",0,202.5850000
"K2-152 b",5.86000,2.290,2.680000,0.250,-0.240,,,"Transit","K2",0,108.4490000
"K2-155 b",3.89000,1.800,3.670000,0.200,-0.100,,,"Transit","K2",0,72.7998000
"K2-157 b",1.18000,1.055,5.510000,0.147,-0.098,,,"Transit","K2",0,298.3730000
"HD 108874 c",314.64000,13.800,0.658000,,,19.07000,-19.07000,"Radial Velocity","W. M. Keck Observatory",0,59.5175000
"K2-206 b",8.22000,2.795,2.070000,0.223,-0.155,,,"Transit","K2",0,244.4430000
"IC 4651 9122 b",2002.32900,12.700,5.370000,,,158.91500,-158.91500,"Radial Velocity","La Silla Observatory",0,859.3240000
"K2-153 b",4.66000,2.000,3.200000,0.210,-0.180,,,"Transit","K2",0,143.1250000
"K2-164 b",10.60000,3.249,1.700000,0.515,-0.413,,,"Transit","K2",0,375.6700000
"K2-165 d",7.50000,2.648,2.220000,0.253,-0.148,,,"Transit","K2",0,134.5910000
"HIP 70849 b",2860.00000,12.500,8.050000,,,1907.00000,-1907.00000,"Radial Velocity","La Silla Observatory",0,24.0572000
"HIP 74890 b",762.79200,13.300,1.780000,,,95.34900,-95.34900,"Radial Velocity","Multiple Observatories",0,78.6562000
"K2-232 b",126.49634,11.209,0.405000,0.247,-0.224,11.75971,-11.75971,"Transit","K2",0,130.7200000
"K2-163 b",6.65000,2.466,2.440000,0.257,-0.124,,,"Transit","K2",0,208.5290000
"K2-17 b",5.60000,2.230,2.770000,0.200,-0.200,,,"Transit","K2",0,125.1060000
"K2-254 b",3.29000,1.630,4.170000,0.280,-0.240,,,"Transit","K2",0,227.7750000
"K2-27 b",30.90000,4.480,1.870000,0.230,-0.230,4.60000,-4.60000,"Transit","K2",0,249.6450000
"K2-187 b",2.24000,1.300,5.600000,0.130,-0.130,,,"Transit","K2",0,330.9160000
"K2-129 b",1.12000,1.040,5.470000,0.100,-0.090,,,"Transit","K2",0,27.7957000
"HIP 107773 b",629.30340,13.400,1.440000,,,66.74430,-66.74430,"Radial Velocity","Multiple Observatories",0,105.1800000
"K2-160 b",10.20000,3.178,1.750000,0.214,-0.145,,,"Transit","K2",0,315.3630000
"HIP 65 A b",1021.18779,22.754,0.480000,6.837,-5.492,24.79074,-24.79074,"Transit","Transiting Exoplanet Survey Satellite (TESS)",0,61.7856000
"K2-172 b",3.42000,1.666,4.060000,0.160,-0.095,,,"Transit","K2",0,249.7420000
"K2-173 b",3.22000,1.608,4.250000,0.160,-0.105,,,"Transit","K2",0,228.6410000
"Kepler-1050 c",2.79000,1.480,4.730000,0.350,-0.160,,,"Transit","Kepler",0,490.4880000
"K2-189 c",6.80000,2.500,2.390000,0.120,-0.120,,,"Transit","K2",0,242.1130000
"K2-19 b",28.50000,7.740,0.334000,0.390,-0.390,5.40000,-5.00000,"Transit","K2",0,289.8270000
"K2-193 b",14.80000,3.950,1.320000,0.120,-0.120,,,"Transit","K2",0,411.9230000
"K2-194 b",12.90000,3.642,1.470000,0.618,-0.500,,,"Transit","K2",0,629.5100000
"K2-251 b",6.12000,2.350,2.590000,0.260,-0.210,,,"Transit","K2",0,147.0300000
"K2-249 b",8.20000,2.790,2.070000,0.270,-0.220,,,"Transit","K2",0,521.7160000
"K2-199 b",4.16000,1.870,3.500000,0.140,-0.140,,,"Transit","K2",0,107.5180000
"K2-201 c",10.80000,3.286,1.670000,0.398,-0.184,,,"Transit","K2",0,197.9320000
"K2-203 b",2.45000,1.371,5.230000,0.275,-0.121,,,"Transit","K2",0,166.1470000
"HD 99706 c",1808.45270,12.800,4.740000,,,454.49690,-305.11680,"Radial Velocity","W. M. Keck Observatory",0,146.6000000
"K2-237 b",392.83788,18.405,0.370000,0.560,-0.560,13.98452,-13.98452,"Transit","K2",0,314.9950000
"K2-198 d",6.52000,2.438,2.470000,0.130,-0.056,,,"Transit","K2",0,110.5670000
"K2-216 b",8.00000,1.750,8.200000,0.170,-0.100,1.60000,-1.60000,"Transit","K2",0,115.4610000
"K2-222 b",6.30000,2.390,2.540000,0.130,-0.130,,,"Transit","K2",0,101.3210000
"K2-179 b",6.86000,2.513,2.380000,0.164,-0.121,,,"Transit","K2",0,190.8100000
"Kepler-10 c",7.37000,2.323,3.140000,0.028,-0.028,1.32000,-1.19000,"Transit","Kepler",0,185.5060000
"KELT-6 b",165.27160,14.572,0.311000,1.009,-1.009,38.13960,-38.13960,"Transit","KELT",0,240.7260000
"KELT-7 b",441.78370,17.934,0.442000,0.673,-0.673,69.92260,-69.92260,"Transit","KELT",0,136.6810000
"KELT-1 b",8654.15000,12.442,24.700000,0.359,-0.247,158.90800,-152.55200,"Transit","KELT",0,268.4300000
"Kepler-1430 b",1.76000,1.180,5.890000,0.090,-0.080,,,"Transit","Kepler",0,875.5230000
"Kepler-1084 b",1.41000,1.110,5.670000,0.230,-0.150,,,"Transit","Kepler",0,405.5330000
"KIC 3558849 b",38.10000,6.900,0.637000,1.000,-0.900,,,"Transit","Kepler",0,1215.7000000
"KIC 9663113 b",19.20000,4.600,1.080000,0.600,-0.700,,,"Transit","Kepler",0,1594.7400000
"K2-243 c",4.70000,2.010,3.180000,0.150,-0.130,,,"Transit","K2",0,266.8640000
"K2-264 b",5.61000,2.231,2.780000,0.151,-0.145,,,"Transit","K2",0,185.6050000
"K2-264 c",7.60000,2.668,2.200000,0.201,-0.194,,,"Transit","K2",0,185.6050000
"K2-266 d",8.90000,2.930,2.030000,0.140,-0.120,5.70000,-3.80000,"Transit","K2",0,77.5586000
"K2-278 b",9.17000,2.980,1.900000,0.230,-0.230,,,"Transit","K2",0,786.4390000
"K2-68 b",3.12000,1.580,4.350000,0.230,-0.230,,,"Transit","K2",0,168.6520000
"K2-7 b",7.61000,2.670,2.200000,0.560,-0.560,,,"Transit","K2",0,738.5530000
"K2-275 b",5.65000,2.240,2.760000,0.120,-0.120,,,"Transit","K2",0,123.4380000
"K2-282 b",8.35000,2.820,2.050000,0.140,-0.140,,,"Transit","K2",0,496.2890000
"KELT-15 b",416.35730,19.504,0.360000,2.242,-2.242,136.66690,-136.66690,"Transit","KELT-South",0,324.6830000
"Kepler-1023 b",7.41000,2.630,2.240000,0.300,-0.180,,,"Transit","Kepler",0,694.1750000
"K2-242 b",6.99000,2.540,2.340000,0.210,-0.190,,,"Transit","K2",0,109.2370000
"K2-247 b",5.14000,2.120,2.960000,0.190,-0.160,,,"Transit","K2",0,258.1130000
"K2-247 c",5.43000,2.190,2.840000,0.250,-0.230,,,"Transit","K2",0,258.1130000
"K2-286 b",5.06000,2.100,3.000000,0.200,-0.200,,,"Transit","K2",0,76.1486000
"K2-72 b",1.28000,1.080,5.580000,0.110,-0.110,,,"Transit","K2",0,66.4321000
"K2-201 b",2.54000,1.400,5.090000,0.135,-0.077,,,"Transit","K2",0,197.9320000
"K2-13 b",4.23000,1.890,3.440000,0.950,-0.950,,,"Transit","K2",0,342.3940000
"K2-159 b",5.73000,2.260,2.730000,0.170,-0.110,,,"Transit","K2",0,170.9980000
"KMT-2019-BLG-1953L b",200.00000,14.100,0.392000,,,240.00000,-110.00000,"Microlensing","KMTNet",0,7040.0000000
"KOI-217 b",,12.442,,0.224,-0.224,,,"Transit","Kepler",0,914.6990000
"K2-233 c",12.81000,1.281,33.910000,0.022,-0.021,,,"Transit","K2",0,67.5062000
"K2-290 b",10.90000,3.060,4.100000,0.160,-0.160,,,"Transit","K2",0,272.9090000
"K2-290 c",246.00042,11.276,1.010000,0.560,-0.560,14.93801,-14.93801,"Transit","K2",0,272.9090000
"K2-291 b",6.49000,1.589,8.840000,0.095,-0.072,1.16000,-1.16000,"Transit","K2",0,90.0562000
"K2-318 b",3.39000,1.660,4.070000,0.130,-0.130,,,"Transit","K2",0,147.8660000
"K2-32 c",8.10000,3.134,1.430000,0.123,-0.102,2.40000,-2.40000,"Transit","K2",0,157.6820000
"K2-32 d",6.70000,3.484,0.870000,0.112,-0.129,2.50000,-2.50000,"Transit","K2",0,157.6820000
"K2-320 b",7.37000,2.620,2.250000,0.230,-0.150,,,"Transit","K2",0,108.7400000
"K2-266 e",14.30000,2.730,2.210000,0.140,-0.110,6.40000,-5.00000,"Transit","K2",0,77.5586000
"K2-74 b",5.95000,2.310,2.650000,0.190,-0.190,,,"Transit","K2",0,377.8220000
"K2-166 b",5.43000,2.190,2.840000,0.200,-0.190,,,"Transit","K2",0,476.8820000
"K2-80 b",4.70000,2.010,3.180000,0.300,-0.300,,,"Transit","K2",0,200.8020000
"K2-80 c",2.76000,1.470,4.770000,0.230,-0.230,,,"Transit","K2",0,200.8020000
"K2-28 b",5.99000,2.320,2.640000,0.240,-0.240,,,"Transit","K2",0,62.9969000
"K2-87 b",44.90000,7.600,0.562000,0.400,-0.400,,,"Transit","K2",0,491.2420000
"K2-37 c",8.00000,2.750,2.110000,0.270,-0.270,,,"Transit","K2",0,179.9430000
"K2-43 c",6.44000,2.420,2.500000,0.260,-0.110,,,"Transit","K2",0,182.5360000
"KOI-94 b",10.50000,1.710,10.100000,0.160,-0.160,4.60000,-4.60000,"Transit","Kepler",0,477.0520000
"KMT-2016-BLG-2364L b",1250.00000,13.000,3.130000,,,1000.00000,-690.00000,"Microlensing","KMTNet",0,6440.0000000
"K2-250 b",6.53000,2.440,2.470000,0.190,-0.150,,,"Transit","K2",0,414.7080000
"K2-48 b",5.65000,2.240,2.760000,0.240,-0.240,,,"Transit","K2",0,313.7640000
"K2-5 b",4.31000,1.910,3.400000,0.440,-0.440,,,"Transit","K2",0,202.9430000
"K2-55 b",14.00000,3.820,1.380000,0.320,-0.320,,,"Transit","K2",0,159.5220000
"K2-195 c",7.16000,2.576,2.300000,0.272,-0.149,,,"Transit","K2",0,315.0140000
"K2-196 b",12.60000,3.600,1.480000,0.603,-0.503,,,"Transit","K2",0,584.8770000
"K2-198 b",16.30000,4.189,1.220000,0.228,-0.098,,,"Transit","K2",0,110.5670000
"HD 48265 b",484.69075,13.500,1.080000,,,15.57367,-15.89150,"Radial Velocity","Las Campanas Observatory",0,90.5446000
"Kepler-100 d",3.00000,1.610,,0.050,-0.050,,,"Transit","Kepler",0,304.6450000
"K2-83 b",2.08000,1.244,5.940000,0.098,-0.098,,,"Transit","K2",0,125.5290000
"Kepler-149 b",16.50000,4.210,1.220000,0.600,-0.600,,,"Transit","Kepler",0,571.0340000
"K2-261 b",70.87609,9.528,0.483000,0.291,-0.247,9.85273,-9.85273,"Transit","K2",0,213.2830000
"K2-85 b",1.01000,1.010,5.390000,0.120,-0.120,,,"Transit","K2",0,97.2179000
"K2-9 b",5.69000,2.250,2.740000,0.530,-0.960,,,"Transit","K2",0,82.9631000
"K2-84 b",6.39000,2.410,2.510000,0.350,-0.350,,,"Transit","K2",0,284.8760000
"KELT-10 b",215.80657,15.681,0.308000,0.773,-0.549,12.39537,-12.07754,"Transit","KELT-South",0,188.4040000
"KMT-2017-BLG-1146L b",230.00000,14.000,0.461000,,,250.00000,-130.00000,"Microlensing","KMTNet",0,6500.0000000
"K2-97 b",152.55840,10.610,0.702000,0.950,-0.950,22.24810,-22.24810,"Transit","K2",0,878.4300000
"KELT-11 b",54.34893,15.132,0.093000,1.121,-1.121,4.76745,-4.76745,"Transit","KELT-South",0,99.1596000
"K2-220 b",6.30000,2.390,2.540000,0.120,-0.120,,,"Transit","K2",0,233.5140000
"K2-89 b",0.17000,0.615,4.020000,0.080,-0.080,,,"Transit","K2",0,86.0386000
"Kepler-1001 b",10.10000,3.150,1.780000,0.340,-0.480,,,"Transit","Kepler",0,928.9780000
"KIC 5437945 b",33.60000,6.400,0.704000,1.600,-1.600,,,"Transit","Kepler",0,1274.0100000
"Kepler-101 b",51.10000,5.770,1.450000,0.850,-0.790,5.10000,-4.70000,"Transit","Kepler",0,927.9810000
"K2-47 b",4.23000,1.890,3.440000,0.260,-0.260,,,"Transit","K2",0,349.8810000
"K2-6 b",6.80000,2.500,2.390000,0.880,-0.880,,,"Transit","K2",0,316.8190000
"KMT-2018-BLG-1990L b",111.00000,12.900,0.284000,,,42.00000,-28.00000,"Microlensing","KMTNet",0,967.0000000
"KMT-2016-BLG-2142L b",4923.00000,12.200,14.900000,,,7943.00000,-2730.00000,"Microlensing","KMTNet",0,7010.0000000
"Kepler-103 b",9.70000,3.370,1.380000,0.090,-0.090,8.60000,-8.60000,"Transit","Kepler",0,494.8320000
"K2-66 b",21.30000,2.490,7.800000,0.340,-0.240,3.60000,-3.60000,"Transit","K2",0,513.8770000
"KOI-351 d",8.60000,2.870,2.000000,0.300,-0.300,,,"Transit","Kepler",0,848.2540000
"KELT-4 A b",286.68266,19.044,0.228000,0.516,-0.504,19.06980,-18.75197,"Transit","KELT",0,218.0500000
"KOI-94 e",35.00000,6.560,0.600000,0.620,-0.620,18.00000,-28.00000,"Transit","Kepler",0,477.0520000
"Kapteyn c",7.00000,2.540,2.350000,,,1.20000,-1.00000,"Radial Velocity","Multiple Observatories",0,3.9330500
"KOI-3680 b",613.41190,11.097,2.460000,0.673,-0.785,60.38770,-66.74430,"Transit","Kepler",0,921.9860000
"Kepler-127 b",2.54000,1.400,5.090000,0.050,-0.050,,,"Transit","Kepler",0,352.7940000
"Kepler-1227 b",5.86000,2.290,2.680000,0.520,-0.230,,,"Transit","Kepler",0,623.7060000
"Kepler-1480 b",3.43000,1.670,4.050000,0.110,-0.080,,,"Transit","Kepler",0,500.8920000
"Kepler-1274 b",2.60000,1.420,4.990000,0.100,-0.100,,,"Transit","Kepler",0,614.6480000
"Kepler-1275 b",2.79000,1.480,4.730000,0.650,-0.270,,,"Transit","Kepler",0,1153.9800000
"Kepler-1262 b",3.97000,1.820,3.620000,0.320,-0.170,,,"Transit","Kepler",0,1054.8700000
"Kepler-1491 b",2.89000,1.510,4.610000,0.350,-0.140,,,"Transit","Kepler",0,2065.5900000
"Kepler-149 c",3.22000,1.610,4.240000,0.240,-0.240,,,"Transit","Kepler",0,571.0340000
"Kepler-129 b",20.00000,2.400,8.100000,0.040,-0.040,,,"Transit","Kepler",0,408.8450000
"TOI-1260 c",11.80000,2.820,2.870000,0.150,-0.150,3.40000,-3.20000,"Transit","Transiting Exoplanet Survey Satellite (TESS)",0,73.5977000
"Kepler-1284 b",1.92000,1.210,5.960000,0.100,-0.070,,,"Transit","Kepler",0,882.3240000
"Kepler-1049 b",0.80900,0.950,5.180000,0.100,-0.160,,,"Transit","Kepler",0,162.0060000
"Kepler-1051 b",11.50000,3.400,1.610000,1.230,-0.670,,,"Transit","Kepler",0,829.3430000
"Kepler-1076 b",0.43700,0.800,4.690000,0.040,-0.030,,,"Transit","Kepler",0,199.0000000
"Kepler-1079 b",3.29000,1.630,4.170000,0.330,-0.280,,,"Transit","Kepler",0,591.0980000
"Kepler-1057 b",11.20000,3.360,1.620000,1.100,-0.520,,,"Transit","Kepler",0,1201.8200000
"Kepler-1065 b",13.40000,3.730,1.420000,0.640,-0.360,,,"Transit","Kepler",0,1122.4800000
"Kepler-1068 b",12.80000,3.630,1.470000,0.890,-0.370,,,"Transit","Kepler",0,1473.6100000
"Kepler-1069 b",3.19000,1.600,4.280000,0.310,-0.140,,,"Transit","Kepler",0,695.9670000
"Kepler-1099 b",8.40000,2.830,2.040000,0.430,-0.510,,,"Transit","Kepler",0,1022.8000000
"Kepler-1102 b",7.56000,2.660,2.210000,0.530,-0.230,,,"Transit","Kepler",0,1246.0500000
"Kepler-1040 b",4.98000,2.080,3.040000,0.180,-0.100,,,"Transit","Kepler",0,482.1190000
"Kepler-1058 b",7.85000,2.720,2.140000,0.110,-0.320,,,"Transit","Kepler",0,491.9970000
"Kepler-1067 b",0.43700,0.800,4.690000,0.120,-0.060,,,"Transit","Kepler",0,667.6930000
"Kepler-107 c",9.39000,1.597,12.650000,0.026,-0.026,1.77000,-1.77000,"Transit","Kepler",0,525.9970000
"Kepler-1074 b",2.10000,1.250,5.910000,0.240,-0.090,,,"Transit","Kepler",0,250.8170000
"Kepler-1078 b",4.27000,1.900,3.420000,0.300,-0.330,,,"Transit","Kepler",0,2481.7100000
"Kepler-1093 c",4.50000,1.960,3.280000,0.720,-0.270,,,"Transit","Kepler",0,1072.8800000
"Kepler-1101 b",6.66000,2.470,2.430000,0.370,-0.210,,,"Transit","Kepler",0,742.4730000
"Kepler-111 b",3.12000,1.580,4.350000,0.200,-0.200,,,"Transit","Kepler",0,657.2230000
"Kepler-111 c",42.00000,7.300,0.593000,0.910,-0.910,,,"Transit","Kepler",0,657.2230000
"Kepler-1106 b",3.36000,1.650,4.110000,0.490,-0.230,,,"Transit","Kepler",0,1090.7000000
"Kepler-1103 b",5.77000,2.270,2.710000,0.610,-0.270,,,"Transit","Kepler",0,1331.9200000
"Kepler-1105 b",4.70000,2.010,3.180000,0.060,-0.250,,,"Transit","Kepler",0,318.0040000
"Kepler-1107 b",2.36000,1.340,5.390000,0.100,-0.080,,,"Transit","Kepler",0,428.7980000
"Kepler-1108 b",2.73000,1.460,4.820000,0.140,-0.110,,,"Transit","Kepler",0,767.7010000
"Kepler-1115 b",3.53000,1.700,3.950000,0.290,-0.200,,,"Transit","Kepler",0,983.2450000
"Kepler-1119 b",4.35000,1.920,3.380000,0.630,-0.300,,,"Transit","Kepler",0,1757.2300000
"Kepler-1139 b",1.81000,1.190,5.900000,0.170,-0.080,,,"Transit","Kepler",0,495.1560000
"Kepler-1141 b",0.47700,0.820,4.750000,0.120,-0.080,,,"Transit","Kepler",0,393.6420000
